,portfolio_return
2015-12-07,0.004873920599107155
2015-12-14,0.013831646006630425
2015-12-21,0.034971611478543455
2015-12-29,-0.013256295635046132
2016-01-06,-0.01648906586231206
2016-01-13,0.004893112144918496
2016-01-21,-0.031617607793182186
2016-01-28,-0.02153500317625713
2016-02-04,-0.03491407005571296
2016-02-11,0.026343025853550955
2016-02-19,-0.01748759097399025
2016-02-26,0.03295523789669881
2016-03-04,-0.03161149765470874
2016-03-11,-0.01806219318929239
2016-03-18,0.003623217620738562
2016-03-28,0.006776607360637666
2016-04-04,0.021945752238682073
2016-04-11,0.0223509756037485
2016-04-18,-0.005554991089624231
2016-04-25,0.004759545136259125
2016-05-02,-0.0016013265304501468
2016-05-09,-0.0261977972868757
2016-05-16,0.021104385282761855
2016-05-23,0.0064905913474100066
2016-05-31,-0.008410989822322707
2016-06-07,-0.014521884087332843
2016-06-14,-0.0010074908294823515
2016-06-21,0.0033113516151990225
2016-06-28,-0.00029118062249934763
2016-07-06,0.019199548236938136
2016-07-13,0.005711736938038567
2016-07-20,-0.0032620105232005945
2016-07-27,-0.0009916761072701994
2016-08-03,0.004305890204632511
2016-08-10,-0.013225905113593343
2016-08-17,-0.0021842765831087897
2016-08-24,0.0006145501749734428
2016-08-31,0.005904696753861145
2016-09-08,0.013541175400663184
2016-09-15,0.018119683878412514
2016-09-22,-0.002621281898949534
2016-09-29,0.000345043094683791
2016-10-06,0.014183688844918444
2016-10-13,0.0031717319438161317
2016-10-20,0.002413152918478131
2016-10-27,0.0061825508718576306
2016-11-03,0.0110934504663746
2016-11-10,0.031906170811969406
2016-11-17,-0.011633087039273356
2016-11-25,-0.014026071190635968
2016-12-02,0.009079618378126772
2016-12-09,-0.006499141657145137
2016-12-16,0.0005687768469141893
2016-12-23,-0.0440164561967055
2017-01-03,0.005808376921426434
2017-01-10,0.002439469152057867
2017-01-18,0.0020428989126684348
2017-01-25,0.0
2017-02-08,0.01862451405097146
2017-02-15,0.005970553369209176
2017-02-23,0.0057087840603693716
2017-03-02,-0.00829025784639832
2017-03-09,-0.004967970209592823
2017-03-16,-0.00219300358143947
2017-03-23,0.0018517079689978403
2017-03-30,-0.018669066446219344
2017-04-06,0.008300009112586122
2017-04-13,-0.002437390121254426
2017-04-21,0.016300842330717352
2017-04-28,-0.016024671745546976
2017-05-05,-0.002957584080111586
2017-05-12,0.003874408435646776
2017-05-19,0.0004357037963894347
2017-05-26,-0.010516194014711351
2017-06-05,0.0046757127943448575
2017-06-12,-0.005206383046332618
2017-06-19,-0.013967183601763966
2017-06-26,0.012851781288467236
2017-07-03,-0.014087219533838008
2017-07-11,-0.0005629321655336752
2017-07-18,-0.004764624891904788
2017-07-25,-0.0010985486902392828
2017-08-01,-0.0020112377770684416
2017-08-08,-0.0020149102397335507
2017-08-15,-0.004763626496393646
2017-08-22,0.010183305111460341
2017-08-29,0.002556547169676609
2017-09-06,0.003469405904186358
2017-09-13,0.00309191912299716
2017-09-20,0.0016290907112714943
2017-09-27,0.006964596757588998
2017-10-04,-0.010470454875066105
2017-10-11,0.004665389723544046
2017-10-18,0.012359227916050571
2017-10-25,-0.006786654865289779
2017-11-01,-0.009686450552437846
2017-11-08,0.006406644439017473
2017-11-15,0.004947931007986577
2017-11-22,0.006070925406567241
2017-11-30,-0.001292205615567695
2017-12-07,0.0008177419557913676
2017-12-14,0.005519865441914914
2017-12-21,-0.006246204322590903
2017-12-29,-0.0013045285701404207
2018-01-08,-0.0066566113982865875
2018-01-16,-0.017597104391183945
2018-01-23,-0.008011096657511802
2018-01-30,-0.0014183345595099733
2018-02-06,-0.03052852560235414
2018-02-13,0.0019757861236032446
2018-02-21,0.0029661671126914604
2018-02-28,0.025915510259180895
2018-03-07,0.004814341283506567
2018-03-14,0.01538158809966906
2018-03-21,-0.01703345681532845
2018-03-28,-0.019256882233565614
2018-04-05,0.006675475089362715
2018-04-12,0.012190534755525452
2018-04-19,0.004863160643261175
2018-04-26,-0.009040030563064422
2018-05-03,0.00731733320724616
2018-05-10,-0.008305579174839317
2018-05-17,0.004903655933785713
2018-05-24,-0.0009584609148004924
2018-06-01,0.01281273866639638
2018-06-08,0.006016141721436307
2018-06-15,-0.003318882901540566
2018-06-22,-0.0030472586252668814
2018-06-29,-0.002490008800578462
2018-07-09,-0.0039147059061251455
2018-07-16,0.0019663924278357017
2018-07-23,-0.004037746108569056
2018-07-30,0.006510471579826475
2018-08-06,0.0184366624666029
2018-08-13,-0.00511044521060908
2018-08-20,0.0047227704214208785
2018-08-27,-0.010893683896569722
2018-09-04,-0.007738346900167191
2018-09-11,-0.0184503038853233
2018-09-18,0.00467245468465579
2018-09-25,0.0003227035919145763
2018-10-02,-0.0007551386867762659
2018-10-09,-0.014343010847667186
2018-10-16,-0.01592808001809251
2018-10-23,0.029023963286920963
2018-10-30,0.026386901414533894
2018-11-06,0.0017585283165850259
2018-11-13,0.014506881888377376
2018-11-20,-0.0040572910569451354
2018-11-28,0.0034224407466368683
2018-12-06,0.00098744934886324
2018-12-13,-0.010899516262586324
2018-12-20,-0.014450710189722918
2018-12-28,0.022530049807013498
2019-01-07,0.013082374425405111
2019-01-14,-0.0026388608118228757
2019-01-22,-0.0014100296390753267
2019-01-29,-0.0007821161144558099
2019-02-05,-0.006892924267204116
2019-02-12,0.003558541970953461
2019-02-20,0.017348298620115797
2019-02-27,0.011050441492900352
2019-03-06,0.009811933192803015
2019-03-13,0.0028531395748478943
2019-03-20,-0.030276386099922087
2019-03-27,-0.0004548026172987076
2019-04-03,0.002025496740697908
2019-04-10,-0.0014534905587494143
2019-04-17,0.010163504033335791
2019-04-25,0.010234308887546357
2019-05-02,0.0031538090331697487
2019-05-09,-0.017493240664032843
2019-05-16,0.0005549431677096758
2019-05-23,-0.011350665888725183
2019-05-31,0.03360911579177727
2019-06-07,-0.018264213831382298
2019-06-14,0.009163445411102138
2019-06-21,-0.005445246859701688
2019-06-28,-0.008274491342196079
2019-07-08,-0.0053956576482456445
2019-07-15,-0.000531524842667032
2019-07-22,0.011585660726039048
2019-07-29,0.003854685475953161
2019-08-05,-0.006096138129150739
2019-08-12,-0.03368368002904298
2019-08-19,0.0015745067565474083
2019-08-26,-0.0068869710621411884
2019-09-03,0.0129730149968509
2019-09-10,0.00790155978693466
2019-09-17,-0.004277052319546662
2019-09-24,-0.014534827146350505
2019-10-01,0.013257399430720553
2019-10-08,-6.572719283182062e-05
2019-10-15,0.009605431350307558
2019-10-22,-0.0033618491918498733
2019-10-29,-0.008892832121236708
2019-11-05,0.0029404580560195162
2019-11-12,-0.0010858525780067965
2019-11-19,0.007170263040427205
2019-11-26,0.007755685985954244
2019-12-04,0.02484159040461262
2019-12-11,-0.0008272575593882652
2019-12-18,-7.097384516709389e-05
2019-12-26,-0.01172994741821679
2020-01-03,-0.009191431257199078
2020-01-10,-0.008010162958605994
2020-01-17,0.0029837554386774935
